,accession,label
0,NP_700395.1,baseplate
1,YP_009966714.1,baseplate
2,YP_009948863.1,baseplate
3,YP_009831400.1,baseplate
4,YP_009831405.1,baseplate
5,YP_009831494.1,baseplate
6,YP_009831120.1,baseplate
7,YP_009831125.1,baseplate
8,YP_009831212.1,baseplate
9,YP_009876391.1,baseplate
10,YP_009834655.1,baseplate
11,YP_009877639.1,baseplate
12,YP_009834889.1,baseplate
13,YP_009879447.1,baseplate
14,YP_009796307.1,baseplate
15,YP_009796521.1,baseplate
16,YP_009879807.1,baseplate
17,YP_009798832.1,baseplate
18,YP_009837624.1,baseplate
19,YP_009837662.1,baseplate
20,YP_009880602.1,baseplate
21,YP_009881343.1,baseplate
22,YP_009881144.1,baseplate
23,YP_009844075.1,baseplate
24,YP_009883600.1,baseplate
25,YP_009889912.1,baseplate
26,YP_009883160.1,baseplate
27,YP_009884007.1,baseplate
28,YP_009889482.1,baseplate
29,YP_009887297.1,baseplate
30,YP_009888259.1,baseplate
31,YP_009887848.1,baseplate
32,YP_009888662.1,baseplate
33,YP_009888052.1,baseplate
34,YP_009888464.1,baseplate
35,YP_009887665.1,baseplate
36,YP_009889271.1,baseplate
37,YP_009888869.1,baseplate
38,YP_009889074.1,baseplate
39,YP_009887473.1,baseplate
40,YP_010089022.1,baseplate
41,YP_010089027.1,baseplate
42,YP_010089109.1,baseplate
43,YP_010092934.1,baseplate
44,YP_010092937.1,baseplate
45,YP_010092938.1,baseplate
46,YP_010092947.1,baseplate
47,YP_010095665.1,baseplate
48,YP_010095708.1,baseplate
49,YP_010095753.1,baseplate
50,YP_010095958.1,baseplate
51,YP_010107271.1,baseplate
52,YP_009882258.1,baseplate
53,YP_010067292.1,baseplate
54,YP_010067339.1,baseplate
55,YP_010067031.1,baseplate
56,YP_009782919.1,baseplate
57,YP_009782920.1,baseplate
58,YP_004306392.1,baseplate
59,YP_004306864.1,baseplate
60,YP_004415043.1,baseplate
61,YP_009149392.1,baseplate
62,YP_009783142.1,baseplate
63,YP_009783147.1,baseplate
64,YP_009099586.1,baseplate
65,YP_009592807.1,baseplate
66,YP_009593149.1,baseplate
67,YP_009967025.1,baseplate
68,YP_009110968.1,baseplate
69,YP_009219429.1,baseplate
70,YP_009785002.1,baseplate
71,YP_009785114.1,baseplate
72,YP_009785160.1,baseplate
73,YP_010066806.1,baseplate
74,YP_010066347.1,baseplate
75,YP_010065949.1,baseplate
76,YP_009284009.1,baseplate
77,YP_009190724.1,baseplate
78,YP_009210335.1,baseplate
79,YP_009625100.1,baseplate
80,YP_009625366.1,baseplate
81,YP_009197306.1,baseplate
82,YP_009180650.1,baseplate
83,YP_010088642.1,baseplate
84,YP_010088651.1,baseplate
85,YP_010088660.1,baseplate
86,YP_010073179.1,baseplate
87,YP_010073219.1,baseplate
88,YP_009288836.1,baseplate
89,YP_009786270.1,baseplate
90,YP_009876073.1,baseplate
91,YP_010076805.1,baseplate
92,YP_010076763.1,baseplate
93,YP_010089468.1,baseplate
94,YP_010089475.1,baseplate
95,YP_010089518.1,baseplate
96,YP_010089519.1,baseplate
97,YP_010133101.1,baseplate
98,YP_010074882.1,baseplate
99,YP_010074873.1,baseplate
100,YP_009789813.1,baseplate
101,YP_009789848.1,baseplate
102,YP_010089989.1,baseplate
103,YP_010089998.1,baseplate
104,YP_010090030.1,baseplate
105,YP_010090255.1,baseplate
106,YP_010090622.1,baseplate
107,YP_010090624.1,baseplate
108,YP_010090338.1,baseplate
109,YP_010092306.1,baseplate
110,YP_009790848.1,baseplate
111,YP_009618958.1,baseplate
112,YP_009618968.1,baseplate
113,YP_009618998.1,baseplate
114,YP_009619083.1,baseplate
115,YP_010076389.1,baseplate
116,YP_010076620.1,baseplate
117,YP_010091999.1,baseplate
118,YP_010067830.1,baseplate
119,YP_010067872.1,baseplate
120,YP_010068384.1,baseplate
121,YP_010068426.1,baseplate
122,YP_010075043.1,baseplate
123,YP_010075084.1,baseplate
124,YP_010077031.1,baseplate
125,YP_010077074.1,baseplate
126,YP_010091455.1,baseplate
127,YP_010091464.1,baseplate
128,YP_010091495.1,baseplate
129,YP_010091184.1,baseplate
130,YP_010091193.1,baseplate
131,YP_010091224.1,baseplate
132,YP_009621569.1,baseplate
133,YP_009621698.1,baseplate
134,YP_010073516.1,baseplate
135,YP_010073797.1,baseplate
136,YP_010093616.1,baseplate
137,YP_010093617.1,baseplate
138,YP_010093619.1,baseplate
139,YP_010093662.1,baseplate
140,YP_009836900.1,baseplate
141,YP_010065251.1,baseplate
142,YP_010065209.1,baseplate
143,YP_010069171.1,baseplate
